country,year,income,life_expectancy,population,four_regions,eight_regions,six_regions
Serbia,2018,14800,76.2,8760000,europe,europe_east,europe_central_asia
Seychelles,2018,27500,74.2,95200,africa,africa_sub_saharan,sub_saharan_africa
Sierra Leone,2018,1490,60,7720000,africa,africa_sub_saharan,sub_saharan_africa
Singapore,2018,83900,84,5790000,asia,east_asia_pacific,east_asia_pacific
Slovak Republic,2018,31400,77.2,5450000,europe,europe_east,europe_central_asia
Slovenia,2018,30900,81.1,2080000,europe,europe_east,europe_central_asia
Solomon Islands,2018,2110,63.6,623000,asia,east_asia_pacific,east_asia_pacific
Somalia,2018,629,58,15200000,africa,africa_sub_saharan,sub_saharan_africa
South Africa,2018,12300,63.5,57400000,africa,africa_sub_saharan,sub_saharan_africa
South Korea,2018,36800,81.3,51200000,asia,east_asia_pacific,east_asia_pacific
South Sudan,2018,1820,60.7,12900000,africa,africa_sub_saharan,sub_saharan_africa
Spain,2018,34700,83.2,46400000,europe,europe_west,europe_central_asia
Sri Lanka,2018,12400,77.8,21000000,asia,asia_west,south_asia
St. Kitts and Nevis,2018,25700,NA,55900,americas,america_north,america
St. Lucia,2018,10900,76.6,180000,americas,america_north,america
St. Vincent and the Grenadines,2018,11400,72,110000,americas,america_north,america
Sudan,2018,4440,68.8,41500000,africa,africa_sub_saharan,sub_saharan_africa
Suriname,2018,13200,71.6,568000,americas,america_south,america
Swaziland,2018,7600,58.6,1390000,africa,africa_sub_saharan,sub_saharan_africa
Sweden,2018,47500,82.4,9980000,europe,europe_west,europe_central_asia
Switzerland,2018,57100,83.5,8540000,europe,europe_west,europe_central_asia
Syria,2018,2900,69.8,18300000,asia,asia_west,middle_east_north_africa
Tajikistan,2018,2920,72.2,9110000,asia,asia_west,europe_central_asia
Tanzania,2018,2780,65.5,59100000,africa,africa_sub_saharan,sub_saharan_africa
Thailand,2018,16900,78.2,69200000,asia,east_asia_pacific,east_asia_pacific
Timor-Leste,2018,1490,73.3,1320000,asia,east_asia_pacific,east_asia_pacific
Togo,2018,1480,63.1,7990000,africa,africa_sub_saharan,sub_saharan_africa
Tonga,2018,5500,70.7,109000,asia,east_asia_pacific,east_asia_pacific
Trinidad and Tobago,2018,30300,73.4,1370000,americas,america_north,america
Tunisia,2018,11600,78,11700000,africa,africa_north,middle_east_north_africa
Turkey,2018,24900,79.6,81900000,europe,europe_east,europe_central_asia
Turkmenistan,2018,17900,70.5,5850000,asia,asia_west,europe_central_asia
Tuvalu,2018,3490,NA,11300,asia,east_asia_pacific,east_asia_pacific
Uganda,2018,1820,62.9,44300000,africa,africa_sub_saharan,sub_saharan_africa
Ukraine,2018,8330,72.3,44000000,europe,europe_east,europe_central_asia
United Arab Emirates,2018,68200,76.9,9540000,asia,asia_west,middle_east_north_africa
United Kingdom,2018,40100,81.2,66600000,europe,europe_west,europe_central_asia
United States,2018,54900,79.1,327000000,americas,america_north,america
Uruguay,2018,21300,77.6,3470000,americas,america_south,america
Uzbekistan,2018,6690,70.5,32400000,asia,asia_west,europe_central_asia
Vanuatu,2018,2900,64.3,282000,asia,east_asia_pacific,east_asia_pacific
Venezuela,2018,14200,75.9,32400000,americas,america_south,america
Vietnam,2018,6550,74.9,96500000,asia,east_asia_pacific,east_asia_pacific
Yemen,2018,2430,67.1,28900000,asia,asia_west,middle_east_north_africa
Zambia,2018,3870,59.5,17600000,africa,africa_sub_saharan,sub_saharan_africa
Zimbabwe,2018,1950,60.2,16900000,africa,africa_sub_saharan,sub_saharan_africa
